Date,Open,High,Low,Close,Volume,per,pbr,roe
2019-01-02,38.72,39.71,38.56,39.48,148160000.00,24.7,14.2,0.60
2019-01-03,35.99,36.43,35.50,35.55,365250000.00,24.7,14.2,0.60
2019-01-04,36.13,37.14,35.95,37.06,234430000.00,24.7,14.2,0.60
2019-01-07,37.17,37.21,36.47,36.98,219110000.00,24.7,14.2,0.60
2019-01-08,37.39,37.96,37.13,37.69,164100000.00,24.7,14.2,0.60
2019-01-09,37.82,38.63,37.41,38.33,180400000.00,24.7,14.2,0.60
2019-01-10,38.13,38.49,37.72,38.45,143120000.00,24.7,14.2,0.60
2019-01-11,38.22,38.42,37.88,38.07,108090000.00,24.7,14.2,0.60
2019-01-14,37.71,37.82,37.31,37.50,129760000.00,24.7,14.2,0.60
2019-01-15,37.57,38.35,37.51,38.27,114840000.00,24.7,14.2,0.60
2019-01-16,38.27,38.97,38.25,38.74,122280000.00,24.7,14.2,0.60
2019-01-17,38.55,39.42,38.31,38.97,119290000.00,24.7,14.2,0.60
2019-01-18,39.38,39.47,39.00,39.21,135000000.00,24.7,14.2,0.60
2019-01-22,39.10,39.18,38.15,38.33,121580000.00,24.7,14.2,0.60
2019-01-23,38.54,38.78,37.92,38.48,92520000.00,24.7,14.2,0.60
2019-01-24,38.53,38.62,37.94,38.17,101770000.00,24.7,14.2,0.60
2019-01-25,38.87,39.53,38.58,39.44,134190000.00,24.7,14.2,0.60
2019-01-28,38.95,39.08,38.42,39.08,104770000.00,24.7,14.2,0.60
2019-01-29,39.06,39.53,38.53,38.67,166350000.00,24.7,14.2,0.60
