Date,Open,High,Low,Close,Volume,per,pbr,nasdaq_ma5,nasdaq_ma20,bond_u3y_ma5,bond_u3y_ma20,wti_ma5,nlp_pos,nlp_neg,nlp_neu,nlp_compound
2021-01-04,133.5200,133.6100,126.7600,129.4100,143300000.0000,28.6,30.8,12841.2740,12661.7955,0.1680,0.1764,85.0020,,,,
2021-01-05,128.8900,131.7400,128.4300,131.0100,97670000.0000,28.6,30.8,12825.1820,12679.5320,0.1680,0.1742,84.8240,0.1419,0.7561,0.1020,0.1567
2021-01-06,127.7200,131.0500,126.3800,126.6000,155090000.0000,28.6,30.8,12803.2960,12690.5740,0.1750,0.1745,84.2680,0.1419,0.7561,0.1020,0.1567
2021-01-07,128.3600,131.6300,127.8600,130.9200,109580000.0000,28.6,30.8,12842.7920,12714.8095,0.1840,0.1763,83.6820,0.1419,0.7561,0.1020,0.1567
2021-01-08,132.4300,132.6300,130.2300,132.0500,105160000.0000,28.6,30.8,12905.5300,12757.9605,0.1948,0.1787,83.0500,0.1419,0.7561,0.1020,0.1567
2021-01-11,129.1900,130.1700,128.5000,128.9800,100620000.0000,28.6,30.8,12973.1260,12789.4915,0.2174,0.1835,82.6120,0.1419,0.7561,0.1020,0.1567
2021-01-12,128.5000,129.6900,126.8600,128.8000,91950000.0000,28.6,30.8,13023.8200,12824.2195,0.2234,0.1859,82.1600,0.1419,0.7561,0.1020,0.1567
2021-01-13,128.7600,131.4500,128.4900,130.8900,88640000.0000,28.6,30.8,13101.4520,12858.6650,0.2256,0.1881,82.2080,0.1419,0.7561,0.1020,0.1567
2021-01-14,130.8000,131.0000,128.7600,128.9100,90220000.0000,28.6,30.8,13110.4840,12884.5440,0.2256,0.1905,82.2360,0.1070,0.8256,0.0674,0.2313
2021-01-15,128.7800,130.2200,127.0000,127.1400,111600000.0000,28.6,30.8,13069.7900,12901.5595,0.2220,0.1918,82.1420,0.1571,0.7620,0.0808,0.2421
2021-01-19,127.7800,128.7100,126.9400,127.8300,90760000.0000,28.6,30.8,13101.9400,12923.1810,0.2134,0.1953,81.8840,0.1571,0.7620,0.0808,0.2421
2021-01-20,128.6600,132.4900,128.5500,132.0300,104320000.0000,28.6,30.8,13178.9040,12958.2615,0.2072,0.1966,81.4720,0.1571,0.7620,0.0808,0.2421
2021-01-21,133.8000,139.6700,133.5900,136.8700,120530000.0000,28.6,30.8,13259.2980,12997.6815,0.2006,0.1975,80.8300,0.1571,0.7620,0.0808,0.2421
2021-01-22,136.2800,139.8500,135.0200,139.0700,114460000.0000,28.6,30.8,13345.3820,13034.4385,0.1970,0.1986,80.0800,0.1571,0.7620,0.0808,0.2421
2021-01-25,143.0700,145.0900,136.5400,142.9200,157610000.0000,28.6,30.8,13472.8800,13077.6825,0.1876,0.1998,79.4260,0.1571,0.7620,0.0808,0.2421
2021-01-26,143.6000,144.3000,141.3700,143.1600,98390000.0000,28.6,30.8,13558.6580,13118.7495,0.1846,0.2004,79.0060,0.1571,0.7620,0.0808,0.2421
2021-01-27,143.4300,144.3000,140.4100,142.0600,140840000.0000,28.6,30.8,13521.3280,13137.3085,0.1820,0.2008,78.5720,0.1881,0.7152,0.0967,0.3177
2021-01-28,139.5200,141.9900,136.7000,137.0900,142620000.0000,28.6,30.8,13482.5760,13161.6555,0.1816,0.2019,78.5460,0.1881,0.7152,0.0967,0.3177
2021-01-29,135.8300,136.7400,130.2100,131.9600,177520000.0000,28.6,30.8,13388.1040,13171.6905,0.1790,0.2021,78.5080,0.1576,0.7586,0.0839,0.3000
2021-02-01,133.7500,135.3800,130.9300,134.1400,106240000.0000,28.6,30.8,13341.5840,13197.4460,0.1770,0.1986,78.4900,0.1535,0.7657,0.0807,0.1573
2021-02-02,135.7300,136.3100,134.6100,134.9900,83310000.0000,28.6,30.8,13338.9260,13243.1625,0.1770,0.1963,78.5100,0.3046,0.6559,0.0395,0.6193
2021-02-03,135.7600,135.7700,133.6100,133.9400,89880000.0000,28.6,30.8,13406.9140,13282.7415,0.1776,0.1946,78.6800,0.3046,0.6559,0.0395,0.6193
2021-02-04,136.3000,137.4000,134.5900,137.3900,84180000.0000,28.6,30.8,13495.0300,13334.5890,0.1798,0.1926,78.6360,0.3046,0.6559,0.0395,0.6193
2021-02-05,137.3500,137.4200,135.8600,136.7600,75690000.0000,28.6,30.8,13652.1500,13374.0300,0.1814,0.1901,79.0100,0.3046,0.6559,0.0395,0.6193
2021-02-08,136.0300,136.9600,134.9200,136.9100,71300000.0000,28.6,30.8,13769.0000,13413.3135,0.1858,0.1863,79.2460,0.3046,0.6559,0.0395,0.6193
2021-02-09,136.6200,137.8800,135.8500,136.0100,76770000.0000,28.6,30.8,13847.9840,13461.8770,0.1854,0.1854,79.2160,0.3046,0.6559,0.0395,0.6193
2021-02-10,136.4800,136.9900,134.4000,135.3900,73050000.0000,28.6,30.8,13920.3820,13506.8820,0.1852,0.1840,79.2620,0.3046,0.6559,0.0395,0.6193
2021-02-11,135.9000,136.3900,133.7700,135.1300,64280000.0000,28.6,30.8,13969.9880,13551.7230,0.1866,0.1834,79.1580,0.3046,0.6559,0.0395,0.6193
2021-02-12,134.3500,135.5300,133.6900,135.3700,60150000.0000,28.6,30.8,14017.8220,13600.8645,0.1890,0.1835,78.8700,0.1889,0.7521,0.0591,0.4274
2021-02-16,135.4900,136.0100,132.7900,133.1900,80580000.0000,28.6,30.8,14029.7940,13653.3145,0.2016,0.1865,78.5680,0.1889,0.7521,0.0591,0.4274
2021-02-17,131.2500,132.2200,129.4700,130.8400,98090000.0000,28.6,30.8,14021.3540,13691.7305,0.2064,0.1876,78.5160,0.1889,0.7521,0.0591,0.4274
2021-02-18,129.2000,129.9900,127.4100,129.7100,96860000.0000,28.6,30.8,13999.9200,13712.1360,0.2100,0.1890,78.4380,0.1889,0.7521,0.0591,0.4274
2021-02-19,130.2400,130.7100,128.8000,129.8700,87670000.0000,28.6,30.8,13969.6580,13729.3130,0.2136,0.1908,78.1960,0.1889,0.7521,0.0591,0.4274
2021-02-22,128.0100,129.7200,125.6000,126.0000,103920000.0000,28.6,30.8,13857.1740,13728.8125,0.2154,0.1950,77.9640,0.1718,0.7708,0.0574,0.5023
2021-02-23,123.7600,126.7100,118.3900,125.8600,158270000.0000,28.6,30.8,13740.7140,13720.2730,0.2166,0.1970,77.8240,0.1718,0.7708,0.0574,0.5023
2021-02-24,124.9400,125.5600,122.2300,125.3500,111040000.0000,28.6,30.8,13667.2080,13718.8680,0.2230,0.2003,77.4640,0.1762,0.7750,0.0488,0.5823
2021-02-25,124.6800,126.4600,120.5400,120.9900,148200000.0000,28.6,30.8,13518.0220,13711.3095,0.2512,0.2094,77.0580,0.1762,0.7750,0.0488,0.5823
2021-02-26,122.5900,124.8500,121.2000,121.2600,164560000.0000,28.6,30.8,13381.5980,13704.0685,0.2634,0.2145,76.6580,0.1549,0.7762,0.0689,0.2570
2021-03-01,123.7500,127.9300,122.7900,127.7900,116310000.0000,28.6,30.8,13392.7540,13729.9750,0.2788,0.2218,76.3240,0.2026,0.7592,0.0382,0.5968
2021-03-02,128.4100,128.7200,125.0100,125.1200,102260000.0000,28.6,30.8,13371.4720,13727.7450,0.2812,0.2252,75.9100,0.1095,0.8005,0.0900,0.1084
2021-03-03,124.8100,125.7100,121.8400,122.0600,112970000.0000,28.6,30.8,13251.4280,13696.9935,0.2682,0.2305,75.5040,0.0882,0.8407,0.0708,0.1292
2021-03-04,121.7500,123.6000,118.6200,120.1300,178160000.0000,28.6,30.8,13172.2360,13652.6400,0.2732,0.2364,75.0540,0.1234,0.7555,0.1210,-0.0314
2021-03-05,120.9800,121.9300,117.5700,121.4200,153770000.0000,28.6,30.8,13117.7980,13609.7605,0.2820,0.2426,75.2260,0.1234,0.7555,0.1210,-0.0314
2021-03-08,120.9300,121.0000,116.2100,116.3600,154380000.0000,28.6,30.8,12921.8640,13547.4035,0.3150,0.2573,75.3960,0.2149,0.7055,0.0795,0.3474
2021-03-09,119.0300,122.0600,118.7900,121.0800,129530000.0000,28.6,30.8,12864.8720,13501.7130,0.3206,0.2634,75.3000,0.2149,0.7055,0.0795,0.3474
2021-03-10,121.6900,122.1700,119.4500,119.9800,111940000.0000,28.6,30.8,12879.0880,13454.7695,0.3246,0.2692,75.5380,0.2149,0.7055,0.0795,0.3474
2021-03-11,122.5400,123.2100,121.2600,121.9600,103030000.0000,28.6,30.8,13014.1280,13426.0765,0.3258,0.2737,75.7040,0.2149,0.7055,0.0795,0.3474
